time (ms),mag1x [T],mag1y [T],mag1z [T],gyrox rad/s,gyroy rad/s,gyroz rad/s,temp
15352,-1.46E-05,2.72E-05,2.82E-05,-6.53E-02,5.71E-02,2.96E-02,65236
15371,-1.46E-05,2.69E-05,2.78E-05,-6.45E-02,5.65E-02,2.90E-02,65233
15391,-1.43E-05,2.68E-05,2.82E-05,-6.48E-02,5.79E-02,2.86E-02,65230
15411,-1.50E-05,2.69E-05,2.82E-05,-6.48E-02,5.75E-02,2.92E-02,65229
15431,-1.50E-05,2.75E-05,2.86E-05,-6.42E-02,5.69E-02,2.98E-02,65238
15451,-1.49E-05,2.80E-05,2.71E-05,-6.50E-02,5.71E-02,2.96E-02,65234
15471,-1.46E-05,2.65E-05,2.80E-05,-6.50E-02,5.84E-02,2.87E-02,65236
15491,-1.46E-05,2.77E-05,2.78E-05,-6.42E-02,5.79E-02,2.88E-02,65235
15512,-1.43E-05,2.68E-05,2.83E-05,-6.48E-02,5.69E-02,2.88E-02,65233
15532,-1.56E-05,2.62E-05,2.80E-05,-6.41E-02,5.68E-02,2.91E-02,65233
15552,-1.35E-05,2.63E-05,2.71E-05,-6.48E-02,5.80E-02,2.86E-02,65241
15572,-1.41E-05,2.74E-05,2.85E-05,-6.49E-02,5.77E-02,2.90E-02,65240
15592,-1.47E-05,2.77E-05,2.77E-05,-6.50E-02,5.69E-02,2.95E-02,65245
15612,-1.41E-05,2.63E-05,2.74E-05,-6.44E-02,5.85E-02,2.91E-02,65240
15632,-1.53E-05,2.69E-05,2.86E-05,-6.49E-02,5.77E-02,2.91E-02,65228
15652,-1.46E-05,2.72E-05,2.83E-05,-6.48E-02,5.71E-02,2.91E-02,65228
15672,-1.46E-05,2.74E-05,2.86E-05,-6.49E-02,5.76E-02,2.92E-02,65222
15692,-1.41E-05,2.65E-05,2.82E-05,-6.37E-02,5.72E-02,2.90E-02,65233
15713,-1.52E-05,2.60E-05,2.74E-05,-6.33E-02,5.76E-02,2.87E-02,65237
15733,-1.55E-05,2.77E-05,2.77E-05,-6.44E-02,5.77E-02,2.88E-02,65225
15753,-1.40E-05,2.68E-05,2.78E-05,-6.50E-02,5.72E-02,2.94E-02,65232
15773,-1.41E-05,2.66E-05,2.77E-05,-6.40E-02,5.72E-02,2.83E-02,65226
15793,-1.38E-05,2.71E-05,2.78E-05,-6.37E-02,5.64E-02,2.92E-02,65231
15813,-1.47E-05,2.75E-05,2.78E-05,-6.45E-02,5.75E-02,2.98E-02,65237
15833,-1.43E-05,2.75E-05,2.74E-05,-6.49E-02,5.69E-02,2.95E-02,65237
15853,-1.43E-05,2.74E-05,2.78E-05,-6.52E-02,5.67E-02,2.84E-02,65240
15873,-1.49E-05,2.77E-05,2.82E-05,-6.48E-02,5.73E-02,2.87E-02,65237
15893,-1.37E-05,2.69E-05,2.78E-05,-6.44E-02,5.77E-02,2.91E-02,65233
15914,-1.52E-05,2.69E-05,2.77E-05,-6.49E-02,5.64E-02,2.99E-02,65238
15934,-1.41E-05,2.66E-05,2.82E-05,-6.44E-02,5.69E-02,3.02E-02,65232
15954,-1.49E-05,2.63E-05,2.77E-05,-6.44E-02,5.72E-02,2.84E-02,65223
15974,-1.46E-05,2.66E-05,2.74E-05,-6.37E-02,5.75E-02,2.90E-02,65241
15994,-1.44E-05,2.65E-05,2.78E-05,-6.48E-02,5.68E-02,2.96E-02,65238
16014,-1.41E-05,2.65E-05,2.74E-05,-6.50E-02,5.76E-02,2.99E-02,65237
16034,-1.44E-05,2.77E-05,2.78E-05,-6.53E-02,5.75E-02,2.83E-02,65230
16054,-1.44E-05,2.62E-05,2.62E-05,-6.50E-02,5.68E-02,2.87E-02,65239
16074,-1.52E-05,2.71E-05,2.78E-05,-6.52E-02,5.61E-02,2.79E-02,65239
16094,-1.44E-05,2.66E-05,2.77E-05,-6.53E-02,5.72E-02,2.90E-02,65230
16115,-1.44E-05,2.72E-05,2.77E-05,-6.42E-02,5.69E-02,2.87E-02,65232
16135,-1.46E-05,2.74E-05,2.72E-05,-6.50E-02,5.71E-02,2.88E-02,65231
16155,-1.52E-05,2.71E-05,2.80E-05,-6.40E-02,5.73E-02,2.91E-02,65233
16175,-1.49E-05,2.69E-05,2.86E-05,-6.48E-02,5.63E-02,2.92E-02,65239
16195,-1.52E-05,2.68E-05,2.72E-05,-6.41E-02,5.65E-02,2.95E-02,65237
16215,-1.43E-05,2.74E-05,2.72E-05,-6.46E-02,5.72E-02,2.87E-02,65237
16235,-1.46E-05,2.80E-05,2.75E-05,-6.46E-02,5.81E-02,2.83E-02,65234
16255,-1.47E-05,2.68E-05,2.72E-05,-6.49E-02,5.69E-02,2.94E-02,65231
16275,-1.40E-05,2.65E-05,2.80E-05,-6.50E-02,5.73E-02,2.91E-02,65239
16296,-1.50E-05,2.69E-05,2.78E-05,-6.46E-02,5.69E-02,2.90E-02,65230
16316,-1.46E-05,2.72E-05,2.85E-05,-6.46E-02,5.69E-02,2.84E-02,65232
16336,-1.37E-05,2.65E-05,2.78E-05,-6.40E-02,5.72E-02,2.91E-02,65229
