Date/temp,time(ms),magx (mG),magy (mG),magz (mG),mag(mG),real mag(mG),offset mG,predicted offset,predicted scale,new offest from sphere,,new mag (mG),
Feb 3rd 2019,10629,-54.75,234,-551.25,601.3569032,527.466,73.89090318,61.66042886,1.127254492,84.96797683,33.69418338,518.2481924,527.4120131
10C',10664,-53.25,242.25,-550.5,603.7970479,,76.33104786,78.35509803,1.121327225,49.03847649,380.834968,520.4632522,
,10699,-52.5,237,-551.25,602.3303184,,74.86431843,-140.2837921,1.104365526,74.13670396,,518.8557326,
,10734,-55.5,238.5,-550.5,602.5053942,,75.03939417,,,63.18748779,,519.5169442,
,10769,-51.75,230.25,-550.5,598.9518971,,71.48589707,,,149.939371,,515.2210267,
,10805,-52.5,237.75,-546.75,598.5122179,,71.04621792,,,163.4856892,,514.6798478,
,10840,-59.25,234,-551.25,601.7832874,,74.31728741,,,63.78923348,,519.4791838,
,10875,-57,240,-551.25,603.9251299,,76.45912988,,,38.23969086,,521.2821751,
,10910,-54,243,-546,600.0674962,,72.6014962,,,119.8622246,,516.5178392,
,10945,-50.25,237,-549,600.0792135,,72.61321352,,,130.8781737,,516.0258001,
,10980,-56.25,236.25,-547.5,598.9443839,,71.4783839,,,135.5679454,,515.8226351,
,11015,-54,238.5,-544.5,596.8906935,,69.42469351,,,204.8399206,,513.1537702,
,11050,-48.75,237.75,-552.75,603.6838473,,76.21784731,,,60.45665209,,519.6906124,
,11085,-51.75,237.75,-549,600.5032265,,73.03722647,,,115.4366336,,516.7218558,
,11120,-54,231.75,-556.5,605.2407062,,77.77470625,,,25.51432781,,522.4148291,
,11155,-51.75,235.5,-547.5,598.2428959,,70.7768959,,,173.0289754,,514.3119521,
,11190,-54,237,-553.5,604.5223321,,77.05633209,,,35.65062477,,521.4951856,
,11225,-56.25,233.25,-554.25,603.9558655,,76.48986552,,,37.38254172,,521.3518736,
,11260,-54,240.75,-560.25,612.1736886,,84.70768859,,,5.187746681,,529.7436625,
,11295,-52.5,232.5,-545.25,595.0714768,,67.6054768,,,269.2088942,,511.0584135,
,11330,-54.75,234,-554.25,604.1081236,,76.6421236,,,38.69879068,,521.2451648,
,11365,-51,235.5,-549,599.5517075,,72.08570753,,,140.515774,,515.612065,
,11400,-48,236.25,-552,602.3471279,,74.88112791,,,86.89776748,,518.1441028,
,11435,-49.5,236.25,-551.25,601.781418,,74.31541796,,,93.91647702,,517.7749486,
,11470,-48.75,235.5,-549,599.3645072,,71.89850721,,,154.6075965,,515.0318697,
,11506,-53.25,236.25,-549,600.042186,,72.57618602,,,120.0945127,,516.5072358,
,11541,-48.75,231.75,-558,606.1754078,,78.70940778,,,24.00181949,,522.5668348,
,11576,-54,238.5,-539.25,592.1054066,,64.63940658,,,380.834968,,507.9510066,
,11611,-54.75,239.25,-554.25,606.1610244,,78.6950244,,,16.91961837,,523.3526536,
,11646,-51.75,238.5,-551.25,602.8572592,,75.39125922,,,67.18132534,,519.2695785,
,11681,-54.75,241.5,-553.5,606.3679267,,78.90192667,,,15.50595743,,523.5282395,
,11716,-52.5,234.75,-552,602.1360415,,74.67004152,,,76.85780835,,518.6991415,
,11751,-48.75,235.5,-549.75,600.0515603,,72.58556028,,,136.5291274,,515.7814321,
,11786,-51,236.25,-547.5,598.4741536,,71.00815358,,,170.2045569,,514.4197531,
,11821,-54.75,237,-550.5,601.8445086,,74.37850857,,,76.74821035,,518.7053944,
,11856,-57.75,233.25,-551.25,601.3461462,,73.88014616,,,75.6884638,,518.7660883,
,11891,-54.75,237,-553.5,604.5897886,,77.12378862,,,33.31043971,,521.6944803,
,11926,-55.5,240,-555.75,607.8966298,,80.43062978,,,4.474382277,,525.3507264,
,11961,-54,233.25,-546,596.1858456,,68.71984561,,,223.7128604,,512.5089662,
,11996,-48,237.75,-552,602.9370303,,75.47103029,,,75.93241709,,518.7520791,
,12031,-48,240,-547.5,599.7168082,,72.25080817,,,150.7207742,,515.1891611,
,12066,-55.5,237.75,-547.5,599.4677327,,72.00173266,,,126.264563,,516.2292494,
,12101,-51.75,236.25,-551.25,601.97067,,74.50466997,,,82.98826682,,518.3562104,
,12136,-51.75,234.75,-556.5,606.199534,,78.73353398,,,19.8969385,,523.0054016,
,12172,-51,234.75,-546.75,597.1968896,,69.73088964,,,207.4254206,,513.0637286,
,12207,-56.25,231.75,-550.5,599.935309,,72.46930901,,,109.2416716,,517.0141259,
,12242,-52.5,238.5,-552.75,604.2938544,,76.82785443,,,42.32666964,,520.960105,
,12277,-51,232.5,-555,603.8892697,,76.42326965,,,49.64164189,,520.4203175,
,12312,-51.75,237,-552,602.951957,,75.48595704,,,64.93505044,,519.4077713,
,12347,-48.75,233.25,-551.25,600.5486554,,73.0826554,,,122.88103,,516.3808284,
,12382,-54,237,-552.75,603.8357082,,76.3697082,,,45.14146033,,520.7472605,
,12417,-48,242.25,-545.25,598.5704846,,71.10448457,,,184.1920736,,513.894262,
,12452,-53.25,238.5,-550.5,602.3023016,,74.83630159,,,73.09700132,,518.9163216,
,12487,-48.75,231,-548.25,596.9217914,,69.45579136,,,224.5216863,,512.4819523,
,12522,-51,235.5,-548.25,598.8650203,,71.39902027,,,158.8207744,,514.8635885,
,12557,-49.5,234,-544.5,594.7154782,,67.24947819,,,300.7393175,,510.1241628,
,12592,-51.75,236.25,-552.75,603.3445844,,75.87858438,,,57.9439816,,519.8539056,
,12627,-52.5,243,-546.75,600.6170265,,73.15102648,,,112.4446926,,516.8620058,
,12662,-50.25,236.25,-548.25,599.0969767,,71.63097671,,,156.0834927,,514.9726621,
,12697,-48.75,238.5,-549,600.549592,,73.08359204,,,125.6991506,,516.2544367,
,12732,-54,232.5,-555,604.1500228,,76.68402276,,,39.20050346,,521.2049695,
,12767,-48.75,232.5,-556.5,605.0826906,,77.61669063,,,37.38020792,,521.3520644,
,12802,-51,238.5,-555,606.2245871,,78.7585871,,,21.62483403,,522.815749,
,12837,-49.5,228,-547.5,595.1390594,,67.67305938,,,279.5577202,,510.7460203,
,12873,-50.25,229.5,-546,594.39996,,66.93396004,,,304.226212,,510.0239184,
,12908,-52.5,236.25,-553.5,604.0964844,,76.63048443,,,44.45378499,,520.7986328,
,12943,-53.25,234,-549.75,599.847168,,72.38116804,,,123.5642155,,516.3500558,
,12978,-50.25,235.5,-548.25,598.8016157,,71.33561573,,,163.7736331,,514.6685927,
,13013,-55.5,242.25,-550.5,603.9996378,,76.53363783,,,41.01004093,,521.0620917,
,13048,-51.75,236.25,-550.5,601.2839388,,73.81793875,,,97.18557009,,517.6077258,
,13083,-50.25,231,-552,600.4915174,,73.02551743,,,117.4488993,,516.6286157,
,13118,-53.25,236.25,-548.25,599.3560607,,71.8900607,,,137.0290689,,515.7600584,
,13153,-54,235.5,-547.5,598.4417265,,70.97572649,,,157.6627607,,514.9096167,
,13188,-51.75,234.75,-550.5,600.6961586,,73.23015864,,,109.4560412,,517.0038759,
,13223,-50.25,234,-548.25,598.2132772,,70.74727718,,,179.6124781,,514.064042,
,13258,-52.5,233.25,-552.75,602.241127,,74.77512696,,,74.19341417,,518.8524401,
,13293,-52.5,233.25,-548.25,598.1135971,,70.64759707,,,171.9368998,,514.3535288,
,13328,-51,238.5,-553.5,604.8516347,,77.3856347,,,37.78970149,,521.3186671,
,13363,-51,240,-549.75,602.0183241,,74.55232406,,,85.91361058,,518.1970405,
,13398,-55.5,236.25,-551.25,602.3046364,,74.83863638,,,65.85224298,,519.3510605,
,13433,-48,237,-554.25,604.7032847,,77.23728468,,,45.80636043,,520.6979604,
,13468,-51.75,237,-545.25,596.7785393,,69.31253933,,,218.5661228,,512.682018,
,13503,-53.25,237.75,-552.75,604.0638936,,76.59789356,,,43.74065042,,520.8523285,
,13539,-53.25,240,-545.25,598.1079543,,70.6419543,,,172.853641,,514.3186185,
,13574,-56.25,237,-546,597.8704396,,70.40443956,,,164.5699592,,514.6375177,
,13609,-51.75,236.25,-551.25,601.97067,,74.50466997,,,82.98826682,,518.3562104,
,13644,-51,237,-550.5,601.5149624,,74.04896241,,,95.05846927,,517.7162067,
,13679,-49.5,235.5,-553.5,603.5501222,,76.08412219,,,59.95017718,,519.72325,
,13714,-52.5,240,-552.75,604.8874379,,77.42143788,,,34.72821402,,521.5729351,
,13749,-50.25,234,-546.75,596.8388602,,69.37286016,,,222.0251876,,512.5654904,
,13784,-51.75,234,-555,604.5321021,,77.06610213,,,39.18688761,,521.2060569,
,13819,-56.25,236.25,-550.5,601.6879382,,74.22193822,,,74.97529296,,518.8071725,
,13854,-52.5,238.5,-552.75,604.2938544,,76.82785443,,,42.32666964,,520.960105,
,13889,-51,238.5,-550.5,602.1075485,,74.64154853,,,83.51375399,,518.327414,
,13924,-48.75,237.75,-547.5,598.8805181,,71.41451813,,,169.3830265,,514.4512766,
,13959,-48,237,-552.75,603.328735,,75.86273502,,,68.36950435,,519.1974146,
,13994,-55.5,237,-550.5,601.9131997,,74.44719972,,,73.25411805,,518.907138,
,14029,-51.75,235.5,-549.75,600.3027361,,72.83673613,,,119.0166238,,516.556526,
,14064,-51.75,234.75,-548.25,598.6348532,,71.16885323,,,161.5122129,,514.7572545,
,14099,-53.25,236.25,-549,600.042186,,72.57618602,,,120.0945127,,516.5072358,
,14134,-45.75,243.75,-549.75,603.1021369,,75.63613687,,,81.5579833,,518.4350541,
,14169,-54,231,-545.25,594.6213606,,67.15536062,,,275.639839,,510.8635954,
,14205,-52.5,234.75,-545.25,595.9541719,,68.4881719,,,240.3095561,,511.964079,
,14240,-47.25,238.5,-547.5,599.05848,,71.59248003,,,171.2648847,,514.379179,
,14275,-48.75,238.5,-547.5,599.1786566,,71.71265658,,,161.4526963,,514.7595962,
,14310,-55.5,232.5,-542.25,592.5973021,,65.13130214,,,345.3983437,,508.8811044,
,14345,-54.75,231.75,-547.5,597.0442823,,69.57828228,,,191.9782159,,513.6103796,
,14380,-53.25,236.25,-552.75,603.4750927,,76.00909269,,,52.11675308,,520.2468066,
,14415,-52.5,234.75,-555.75,605.5756559,,78.10965588,,,25.16742312,,522.4492856,
,14450,-53.25,238.5,-543.75,596.1391406,,68.67314064,,,232.7997226,,512.2082242,
,14485,-54,237,-552,603.1492353,,75.68323526,,,55.74744276,,519.999579,
,14520,-54,234,-556.5,606.1058076,,78.63980759,,,17.38234645,,523.2967859,
,14555,-47.25,237.75,-545.25,596.703601,,69.23760104,,,244.5714731,,511.8272189,
,14590,-52.5,234,-556.5,605.9740093,,78.50800934,,,20.81692934,,522.9034427,
,14625,-54.75,234,-548.25,598.6080729,,71.14207295,,,149.1062877,,515.2550914,
,14660,-46.5,240.75,-552.75,604.6944476,,77.22844763,,,50.54324404,,520.3566228,
,14695,-48,238.5,-550.5,601.8608643,,74.39486432,,,98.1190015,,517.5604964,
,14730,-49.5,231.75,-552,600.718164,,73.25216395,,,115.25123,,516.7304874,
,14765,-50.25,233.25,-550.5,599.9840623,,72.51806229,,,131.1365636,,516.0145126,
,14800,-55.5,235.5,-550.5,601.3241638,,73.85816383,,,83.97756166,,518.3020728,
,14835,-49.5,228.75,-554.25,601.639323,,74.17332302,,,93.01720754,,517.8214571,
,14870,-53.25,231.75,-550.5,599.661467,,72.195467,,,126.7766028,,516.2064883,
