time (ms),mag1x T,mag1y T,mag1z T,mag2x T,mag2y T,mag2z T,speed0 rad/s,speed1 rad/s,speed2 rad/s,,time (ms),mag1x T,mag1y T,mag1z T,mag2x T,mag2y T,mag2z T,speed0 rad/s,speed1 rad/s,speed2 rad/s,,time (ms),mag1x T,mag1y T,mag1z T,mag2x T,mag2y T,mag2z T,speed0 rad/s,speed1 rad/s,speed2 rad/s
20468,-7.03E-05,-2.82E-05,-3.69E-05,1.90E-06,-2.04E-05,-7.47E-06,2.65E+01,2.64E+01,2.63E+01,,20475,-6.19E-05,-2.49E-05,-2.54E-05,-1.46E-07,-2.22E-05,-5.42E-06,2.64E+01,2.65E+01,2.63E+01,,20471,-6.48E-05,-2.25E-05,-3.11E-05,1.46E-07,-2.06E-05,-5.22E-06,2.64E+01,2.64E+01,2.65E+01
20487,-9.04E-05,-2.97E-05,-1.76E-05,1.90E-06,-2.07E-05,-5.91E-06,2.64E+01,2.64E+01,2.63E+01,,20494,-6.16E-05,-2.49E-05,-2.75E-05,-4.87E-08,-2.21E-05,-5.13E-06,2.64E+01,2.65E+01,2.63E+01,,20490,-6.43E-05,-2.22E-05,-3.11E-05,1.46E-07,-2.05E-05,-5.32E-06,2.64E+01,2.64E+01,2.65E+01
20506,-1.00E-04,-2.98E-05,9.69E-06,1.90E-06,-2.09E-05,-6.20E-06,2.65E+01,2.64E+01,2.63E+01,,20513,-6.32E-05,-2.37E-05,-2.88E-05,-2.44E-07,-2.18E-05,-5.13E-06,2.64E+01,2.65E+01,2.63E+01,,20509,-6.51E-05,-2.28E-05,-3.20E-05,2.44E-07,-2.05E-05,-5.22E-06,2.64E+01,2.64E+01,2.65E+01
20525,-8.83E-05,-2.74E-05,4.43E-05,1.03E-06,-2.07E-05,-6.20E-06,2.65E+01,2.64E+01,2.63E+01,,20532,-6.32E-05,-2.22E-05,-2.85E-05,4.89E-08,-2.16E-05,-5.13E-06,2.64E+01,2.65E+01,2.63E+01,,20528,-6.46E-05,-2.39E-05,-3.07E-05,3.42E-07,-2.03E-05,-5.13E-06,2.64E+01,2.64E+01,2.65E+01
20545,-6.25E-05,-3.27E-05,6.00E-05,1.61E-06,-2.07E-05,-5.22E-06,2.65E+01,2.64E+01,2.63E+01,,20552,-6.60E-05,-2.13E-05,-2.78E-05,-1.46E-07,-2.11E-05,-4.93E-06,2.64E+01,2.64E+01,2.63E+01,,20547,-6.51E-05,-2.31E-05,-3.01E-05,3.42E-07,-2.04E-05,-5.13E-06,2.64E+01,2.64E+01,2.65E+01
20564,-3.18E-05,-3.17E-05,4.04E-05,1.81E-06,-2.04E-05,-6.20E-06,2.65E+01,2.64E+01,2.63E+01,,20571,-6.60E-05,-2.17E-05,-2.60E-05,1.46E-07,-2.14E-05,-4.83E-06,2.64E+01,2.65E+01,2.63E+01,,20567,-6.45E-05,-2.30E-05,-3.06E-05,4.89E-08,-2.06E-05,-5.22E-06,2.64E+01,2.64E+01,2.64E+01
20583,-1.58E-05,-3.17E-05,2.37E-06,7.32E-07,-2.01E-05,-7.08E-06,2.65E+01,2.64E+01,2.63E+01,,20590,-6.65E-05,-2.24E-05,-2.49E-05,4.89E-08,-2.18E-05,-5.32E-06,2.64E+01,2.65E+01,2.63E+01,,20586,-6.46E-05,-2.20E-05,-3.11E-05,2.44E-07,-2.02E-05,-5.13E-06,2.64E+01,2.64E+01,2.65E+01
20602,-2.94E-05,-3.29E-05,-2.92E-05,1.12E-06,-1.98E-05,-6.49E-06,2.65E+01,2.64E+01,2.63E+01,,20609,-6.55E-05,-2.22E-05,-2.42E-05,4.89E-08,-2.18E-05,-5.32E-06,2.64E+01,2.65E+01,2.63E+01,,20605,-6.55E-05,-2.28E-05,-3.06E-05,1.46E-07,-2.03E-05,-5.03E-06,2.64E+01,2.64E+01,2.65E+01
20622,-5.79E-05,-2.66E-05,-3.50E-05,4.40E-07,-2.02E-05,-6.89E-06,2.65E+01,2.64E+01,2.63E+01,,20628,-6.31E-05,-2.42E-05,-2.49E-05,-1.46E-07,-2.19E-05,-5.32E-06,2.64E+01,2.65E+01,2.63E+01,,20624,-6.46E-05,-2.19E-05,-2.98E-05,2.44E-07,-2.05E-05,-5.22E-06,2.64E+01,2.64E+01,2.65E+01
20641,-9.16E-05,-2.95E-05,-9.99E-06,1.12E-06,-2.08E-05,-6.30E-06,2.65E+01,2.64E+01,2.63E+01,,20647,-6.23E-05,-2.53E-05,-2.59E-05,-1.46E-07,-2.23E-05,-5.42E-06,2.64E+01,2.65E+01,2.63E+01,,20644,-6.51E-05,-2.27E-05,-3.17E-05,2.44E-07,-2.05E-05,-5.03E-06,2.64E+01,2.64E+01,2.65E+01
